id,katakana,zh_hans,kanji_ja,pinyin,vitality,might,intelligence,loyalty,virtue,officer_level,experience,troop_count,army_affinity,weapon,armor,weapon_index,armor_index,army_affinity_code,data_offset,hex
187,ヒイ,费祎,費禕,fèi yī,54,18,85,61,84,2,1000,0,平,短剣,綸巾,0,0,1,141524,3612553D5400E80300000011
188,ビジク,麋竺,糜竺,mí zhú,61,40,73,77,80,1,0,0,平,飛剣,籠手,1,1,1,141536,3D28494D5000000000002101
189,ビホウ,麋芳,糜芳,mí fāng,76,55,47,68,63,2,1000,0,平,矛,兜,16,2,1,141548,4C372F443F00E80300005011
190,フエイ,傅婴,傅嬰,fù yīng,69,58,51,71,65,2,1000,0,平,双戟,籠手,17,1,1,141560,453A33474100E80300003111
191,ブンシュウ,文丑,文醜,wén chǒu,92,90,31,83,50,2,1000,800,山,長剣,兜,2,2,6,141572,5C5A1F533200E80320034216
192,ブンペイ,文聘,文聘,wén pìn,89,81,53,67,65,2,1000,0,山,眉尖刀,籠手,9,1,5,141584,595135434100E80300002915
193,ブアンコク,武安国,武安国,wǔ ān guó,87,80,21,65,36,2,1000,0,山,双戟,籠手,17,1,5,141596,575015412400E80300003115
194,ホウキ,逄纪,逢紀,páng jì,60,54,73,80,48,1,0,500,平,短剣,綸巾,0,0,2,141608,3C36495030000000F4010002
195,ホウジュウ,庞柔,龐柔,páng róu,79,63,47,63,70,1,0,0,水,薤刀,籠手,8,1,9,141620,4F3F2F3F4600000000002809
196,ホウセイ,法正,法正,fǎ zhèng,61,33,92,72,82,2,1000,1000,平,短剣,綸巾,0,0,2,141632,3D215C485200E803E8030012
197,ホウトウ,庞统,龐統,páng tǒng,68,39,98,55,73,3,2000,0,平,飛剣,綸巾,1,0,1,141644,442762374900D00700000121
198,ホウトク,庞德,龐徳,páng dé,95,94,60,79,78,2,1000,0,山,鳳嘴刀,硬皮,13,3,5,141656,5F5E3C4F4E00E80300006D15
199,ホシツ,步骘,歩騭,bù zhì,40,39,80,82,53,2,1000,0,平,短剣,綸巾,0,0,1,141668,282750523500E80300000011
200,モウカク,孟获,孟獲,mèng huò,88,87,29,53,71,3,2000,0,山,鉤鐮刀,硬皮,11,3,5,141680,58571D354700D00700006B25
201,モウタツ,孟达,孟達,mèng dá,80,72,76,70,60,1,0,1000,山,薤刀,籠手,8,1,6,141692,50484C463C000000E8032806
202,モウユウ,孟优,孟優,mèng yōu,78,69,40,61,65,3,2000,0,平,双戟,兜,17,2,1,141704,4E45283D4100D00700005121
203,ヨウガイ,雍闿,雍闓,yōng kǎi,79,68,37,65,40,2,1000,0,山,三尖刀,籠手,10,1,5,141716,4F4425412800E80300002A15
204,ヨウギ,杨仪,楊儀,yáng yí,47,47,79,77,60,3,2000,0,平,短剣,綸巾,0,0,1,141728,2F2F4F4D3C00D00700000021
205,ヨウコウ,杨洪,楊洪,yáng hóng,83,37,69,60,61,2,1000,0,平,短剣,綸巾,0,0,1,141740,5325453C3D00E80300000011
206,ヨウシュウ,杨修,楊修,yáng xiū,60,50,93,73,82,3,2000,0,平,短剣,綸巾,0,0,1,141752,3C325D495200D00700000021
207,ヨウフ,杨阜,楊阜,yáng fù,56,40,75,62,33,2,1000,0,平,短剣,綸巾,0,0,1,141764,38284B3E2100E80300000011
208,ライハク,雷薄,雷薄,léi bó,84,74,49,59,30,2,1000,0,山,薤刀,兜,8,2,5,141776,544A313B1E00E80300004815
209,ライドウ,雷铜,雷銅,léi tóng,91,82,34,75,51,1,0,800,山,矛,籠手,16,1,6,141788,5B52224B3300000020033006
210,リイ,李异,李異,lǐ yì,82,70,33,76,38,2,1000,0,山,戦斧,兜,19,2,5,141800,5246214C2600E80300005315
211,リカク,李傕,李傕,lǐ jué,70,72,17,82,24,2,1000,1000,山,三尖刀,籠手,10,1,6,141812,464811521800E803E8032A16
212,リクセキ,陆绩,陸績,lù jì,44,32,64,69,66,2,1000,0,平,短剣,綸巾,0,0,1,141824,2C2040454200E80300000011
213,リクソン,陆逊,陸遜,lù xùn,65,77,97,88,83,4,3500,0,水,長剣,硬皮,2,3,9,141836,414D61585300AC0D00006239
214,リゲン,李严,李厳,lǐ yán,87,82,75,68,81,3,2000,0,山,鉤鐮刀,兜,11,2,5,141848,57524B445100D00700004B25
215,リタン,李湛,李湛,lǐ zhàn,84,63,12,70,47,2,1000,0,水,矛,籠手,16,1,9,141860,543F0C462F00E80300003019
216,リテン,李典,李典,lǐ diǎn,72,60,64,78,72,2,1000,0,平,矛,兜,16,2,1,141872,483C404E4800E80300005011
217,リフ,李孚,李孚,lǐ fú,56,33,69,66,49,3,2000,0,平,短剣,綸巾,0,0,1,141884,382145423100D00700000021
218,リョフ,吕布,呂布,lǚ bù,99,99,17,30,10,4,3500,1000,山,方天画戟,甲冑,21,5,6,141896,6363111E0A00AC0DE803B536
219,リジュ,李儒,李儒,lǐ rú,53,44,92,89,40,3,2000,200,平,短剣,綸巾,0,0,2,141908,352C5C592800D007C8000022
220,リュウショウ,刘璋,劉璋,liú zhāng,61,39,44,100,77,2,1000,1000,平,短剣,綸巾,0,0,2,141920,3D272C644D00E803E8030012
221,リュウド,刘度,劉度,liú dù,53,51,36,58,47,1,0,0,平,矛,籠手,16,1,1,141932,3533243A2F00000000003001
222,リュウビ,刘备,劉備,liú bèi,78,71,65,100,99,1,0,700,平,長剣,兜,2,2,2,141944,4E47416463000000BC024202
223,リュウヘイ,留平,留平,liú píng,70,57,47,59,63,2,1000,0,平,飛剣,籠手,1,1,1,141956,46392F3B3F00E80300002111
224,リュウホウ,刘封,劉封,liú fēng,84,73,55,83,69,3,2000,0,水,単鉤槍,兜,18,2,9,141968,544937534500D00700005229
225,リュウヨウ,刘晔,劉曄,liú yè,42,37,91,71,93,3,2000,0,平,飛剣,籠手,1,1,1,141980,2A255B475D00D00700002121
226,リョウカ,廖化,廖化,liào huà,81,72,54,67,41,2,1000,0,水,眉尖刀,兜,9,2,9,141992,514836432900E80300004919
227,リョウコウ,梁兴,梁興,liáng xīng,82,65,28,65,47,2,1000,0,山,矛,籠手,16,1,5,142004,52411C412F00E80300003015
228,リョウトウ,凌统,凌統,líng tǒng,90,86,53,80,62,3,2000,0,水,眉尖刀,兜,9,2,9,142016,5A5635503E00D00700004929
229,リョガイ,吕凯,呂凱,lǚ kǎi,46,37,87,68,83,1,0,0,平,短剣,綸巾,0,0,1,142028,2E2557445300000000000001
230,リョコウ,吕旷,呂曠,lǚ kuàng,73,65,40,63,18,1,0,0,平,薤刀,籠手,8,1,1,142040,4941283F1200000000002801
231,リョケン,吕虔,呂虔,lǚ qián,80,63,57,61,63,2,1000,0,山,矛,籠手,16,1,5,142052,503F393D3F00E80300003015
232,リョショウ,吕翔,呂翔,lǚ xiáng,81,50,36,69,27,2,1000,0,平,双戟,兜,17,2,1,142064,513224451B00E80300005111
233,リョハン,吕范,呂範,lǚ fàn,70,23,80,81,65,1,0,0,平,短剣,綸巾,0,0,1,142076,461750514100000000000001
234,リョモウ,吕蒙,呂蒙,lǚ méng,75,87,93,85,91,3,2000,0,水,長剣,硬皮,2,3,9,142088,4B575D555B00D00700006229
235,ロシュク,鲁肃,魯粛,lǔ sù,40,39,95,89,93,3,2000,0,平,飛剣,綸巾,1,0,1,142100,28275F595D00D00700000121
236,リケイ,李珪,李珪,lǐ guī,38,36,52,70,87,1,0,0,平,短剣,綸巾,0,0,1,142112,262434465700000000000001
